Date,Open
2023-05-29,0.809980
2023-05-30,0.809890
2023-05-31,0.805500
2023-06-01,0.803500
2023-06-02,0.798110
2023-06-05,0.804510
2023-06-06,0.804320
2023-06-07,0.804410
2023-06-08,0.803390
2023-06-09,0.796250
2023-06-12,0.795030
2023-06-13,0.799050
2023-06-14,0.793200
2023-06-15,0.789170
2023-06-16,0.782090
2023-06-19,0.779200
2023-06-20,0.781560
2023-06-21,0.783410
2023-06-22,0.783010
2023-06-23,0.784610
2023-06-26,0.785390
2023-06-27,0.786830
2023-06-28,0.784650
2023-06-29,0.791060
2023-06-30,0.792710
2023-07-03,0.787800
2023-07-04,0.788000
2023-07-05,0.786110
2023-07-06,0.787010
2023-07-07,0.784790
2023-07-10,0.778900
2023-07-11,0.777410
2023-07-12,0.773100
2023-07-13,0.769350
2023-07-14,0.761530
2023-07-17,0.763870
2023-07-18,0.765060
2023-07-19,0.767160
2023-07-20,0.772810
2023-07-21,0.777020
2023-07-24,0.778100
2023-07-25,0.780490
2023-07-26,0.775590
2023-07-27,0.773480
2023-07-28,0.781600
2023-07-31,0.777980
2023-08-01,0.779300
2023-08-02,0.781790
2023-08-03,0.786310
2023-08-04,0.786400
2023-08-07,0.784240
2023-08-08,0.782110
2023-08-09,0.784660
2023-08-10,0.786230
2023-08-11,0.789500
2023-08-14,0.787710
2023-08-15,0.788260
2023-08-16,0.787390
2023-08-17,0.785730
2023-08-18,0.784440
2023-08-21,0.784820
2023-08-22,0.783620
2023-08-23,0.785440
2023-08-24,0.786110
2023-08-25,0.794070
2023-08-28,0.794160
2023-08-29,0.792833
2023-08-30,0.791200
2023-08-31,0.786590
2023-09-01,0.789180
2023-09-04,0.794200
2023-09-05,0.792000
2023-09-06,0.795650
2023-09-07,0.800030
2023-09-08,0.801570
2023-09-11,0.800700
2023-09-12,0.799520
2023-09-13,0.800300
2023-09-14,0.800790
2023-09-15,0.806420
2023-09-18,0.806610
2023-09-19,0.807360
2023-09-20,0.806880
2023-09-21,0.811190
2023-09-22,0.813530
2023-09-25,0.816810
2023-09-26,0.818710
2023-09-27,0.823280
2023-09-28,0.823910
2023-09-29,0.819100
2023-10-02,0.820270
2023-10-03,0.827210
2023-10-04,0.827920
2023-10-05,0.823960
2023-10-06,0.820430
2023-10-09,0.818200
2023-10-10,0.816160
2023-10-11,0.813540
2023-10-12,0.811890
2023-10-13,0.820750
2023-10-16,0.822720
2023-10-17,0.818830
2023-10-18,0.821150
2023-10-19,0.823480
2023-10-20,0.823910
2023-10-23,0.822110
2023-10-24,0.816230
2023-10-25,0.822150
2023-10-26,0.826300
2023-10-27,0.823990
2023-10-30,0.825550
2023-10-31,0.822017
2023-11-01,0.822960
2023-11-02,0.820730
2023-11-03,0.820280
2023-11-06,0.808260
2023-11-07,0.810080
2023-11-08,0.813660
2023-11-09,0.813930
2023-11-10,0.818600
2023-11-13,0.817640
2023-11-14,0.814310
2023-11-15,0.800380
2023-11-16,0.804910
2023-11-17,0.805430
2023-11-20,0.802950
2023-11-21,0.799420
2023-11-22,0.797100
2023-11-23,0.800570
2023-11-24,0.797900
2023-11-27,0.793590
2023-11-28,0.791410
2023-11-29,0.786570
2023-11-30,0.787660
