Date,Open
2023-05-29,0.932570
2023-05-30,0.933910
2023-05-31,0.931700
2023-06-01,0.935000
2023-06-02,0.929300
2023-06-05,0.934700
2023-06-06,0.933550
2023-06-07,0.934750
2023-06-08,0.933930
2023-06-09,0.927410
2023-06-12,0.930150
2023-06-13,0.929110
2023-06-14,0.926840
2023-06-15,0.922250
2023-06-16,0.913580
2023-06-19,0.913900
2023-06-20,0.915390
2023-06-21,0.915720
2023-06-22,0.909700
2023-06-23,0.912500
2023-06-26,0.916870
2023-06-27,0.916550
2023-06-28,0.912640
2023-06-29,0.916100
2023-06-30,0.920130
2023-07-03,0.916800
2023-07-04,0.916330
2023-07-05,0.918700
2023-07-06,0.921100
2023-07-07,0.918220
2023-07-10,0.911600
2023-07-11,0.908600
2023-07-12,0.907930
2023-07-13,0.897300
2023-07-14,0.890990
2023-07-17,0.890650
2023-07-18,0.889870
2023-07-19,0.890560
2023-07-20,0.892440
2023-07-21,0.897900
2023-07-24,0.898850
2023-07-25,0.903900
2023-07-26,0.904940
2023-07-27,0.902660
2023-07-28,0.910850
2023-07-31,0.907090
2023-08-01,0.909290
2023-08-02,0.908440
2023-08-03,0.913730
2023-08-04,0.913110
2023-08-07,0.908870
2023-08-08,0.908830
2023-08-09,0.912500
2023-08-10,0.910940
2023-08-11,0.910610
2023-08-14,0.913710
2023-08-15,0.916600
2023-08-16,0.917080
2023-08-17,0.919550
2023-08-18,0.919570
2023-08-21,0.919490
2023-08-22,0.917570
2023-08-23,0.921940
2023-08-24,0.920320
2023-08-25,0.926000
2023-08-28,0.926150
2023-08-29,0.923740
2023-08-30,0.920030
2023-08-31,0.914700
2023-09-01,0.922160
2023-09-04,0.928000
2023-09-05,0.926400
2023-09-06,0.932300
2023-09-07,0.932470
2023-09-08,0.934770
2023-09-11,0.933000
2023-09-12,0.930200
2023-09-13,0.929950
2023-09-14,0.931600
2023-09-15,0.940100
2023-09-18,0.937360
2023-09-19,0.935220
2023-09-20,0.936150
2023-09-21,0.938700
2023-09-22,0.937950
2023-09-25,0.939100
2023-09-26,0.944140
2023-09-27,0.946120
2023-09-28,0.951900
2023-09-29,0.946750
2023-10-02,0.946500
2023-10-03,0.954130
2023-10-04,0.954900
2023-10-05,0.951740
2023-10-06,0.948170
2023-10-09,0.946300
2023-10-10,0.945280
2023-10-11,0.942970
2023-10-12,0.941240
2023-10-13,0.949060
2023-10-16,0.950430
2023-10-17,0.947480
2023-10-18,0.945800
2023-10-19,0.948900
2023-10-20,0.944600
2023-10-23,0.944290
2023-10-24,0.937220
2023-10-25,0.943810
2023-10-26,0.946320
2023-10-27,0.946570
2023-10-30,0.946750
2023-10-31,0.942060
2023-11-01,0.945260
2023-11-02,0.944550
2023-11-03,0.941700
2023-11-06,0.931780
2023-11-07,0.932700
2023-11-08,0.934920
2023-11-09,0.933670
2023-11-10,0.937420
2023-11-13,0.935440
2023-11-14,0.934420
2023-11-15,0.919260
2023-11-16,0.921270
2023-11-17,0.921340
2023-11-20,0.916840
2023-11-21,0.913580
2023-11-22,0.915900
2023-11-23,0.918200
2023-11-24,0.916900
2023-11-27,0.914040
2023-11-28,0.912540
2023-11-29,0.908600
2023-11-30,0.911270
2023-12-01,0.918100
2023-12-04,0.918430
2023-12-05,0.922700
2023-12-06,0.926470
2023-12-07,0.928790
2023-12-08,0.926600
2023-12-11,0.928870
2023-12-12,0.928800
2023-12-13,0.926040
2023-12-14,0.918600
2023-12-15,0.909620
2023-12-18,0.917830
2023-12-19,0.915430
2023-12-20,0.910660
2023-12-21,0.913600
2023-12-22,0.908580
2023-12-25,0.906900
2023-12-26,0.907420
2023-12-27,0.905550
2023-12-28,0.900200
2023-12-29,0.903490
2024-01-01,0.904500
2024-01-02,0.905900
2024-01-03,0.913930
2024-01-04,0.915100
2024-01-05,0.913460
2024-01-08,0.913890
2024-01-09,0.913100
2024-01-10,0.914710
2024-01-11,0.911150
2024-01-12,0.910610
2024-01-15,0.913600
2024-01-16,0.913600
2024-01-17,0.919220
2024-01-18,0.918630
2024-01-19,0.919190
2024-01-22,0.918080
2024-01-23,0.919100
2024-01-24,0.920990
2024-01-25,0.918970
2024-01-26,0.921910
2024-01-29,0.922210
2024-01-30,0.922980
2024-01-31,0.922220
2024-02-01,0.925590
2024-02-02,0.919570
2024-02-05,0.927640
2024-02-06,0.930940
2024-02-07,0.929610
2024-02-08,0.928010
2024-02-09,0.927880
2024-02-12,0.926080
2024-02-13,0.928310
2024-02-14,0.933800
2024-02-15,0.931780
2024-02-16,0.928170
2024-02-19,0.927260
2024-02-20,0.928040
2024-02-21,0.924800
2024-02-22,0.924180
2024-02-23,0.923730
2024-02-26,0.924250
2024-02-27,0.921580
2024-02-28,0.922100
2024-02-29,0.922610
2024-03-01,0.925500
2024-03-04,0.922280
2024-03-05,0.921220
2024-03-06,0.921150
2024-03-07,0.917470
2024-03-08,0.913230
2024-03-11,0.913830
2024-03-12,0.914800
2024-03-13,0.915100
2024-03-14,0.912800
2024-03-15,0.918830
2024-03-18,0.918900
2024-03-19,0.919630
2024-03-20,0.920530
2024-03-21,0.914310
2024-03-22,0.920610
2024-03-25,0.925280
2024-03-26,0.922660
2024-03-27,0.923160
2024-03-28,0.924780
2024-03-29,0.926400
2024-04-01,0.926550
2024-04-02,0.931340
2024-04-03,0.928630
2024-04-04,0.922650
2024-04-05,0.922760
2024-04-08,0.923320
2024-04-09,0.920500
2024-04-10,0.920870
2024-04-11,0.930950
2024-04-12,0.932240
2024-04-15,0.939000
2024-04-16,0.941110
2024-04-17,0.941490
2024-04-18,0.937260
2024-04-19,0.939480
2024-04-22,0.938280
2024-04-23,0.938610
2024-04-24,0.934200
2024-04-25,0.934590
2024-04-26,0.932000
2024-04-29,0.933980
2024-04-30,0.933210
2024-05-01,0.937510
2024-05-02,0.932700
2024-05-03,0.931700
2024-05-06,0.929530
2024-05-07,0.928720
2024-05-08,0.930190
2024-05-09,0.930500
2024-05-10,0.927200
2024-05-13,0.928470
2024-05-14,0.926480
2024-05-15,0.924680
2024-05-16,0.918290
2024-05-17,0.920150
2024-05-20,0.919500
2024-05-21,0.920740
2024-05-22,0.921220
2024-05-23,0.923770
2024-05-24,0.924840
2024-05-27,0.921700
